Date,PX_LAST,PX_BID
3/4/2014,2.7972,2.799
2/4/2014,2.8045,2.8063
1/4/2014,2.7525,2.7543
31/3/2014,2.718,2.7199
28/3/2014,2.7208,2.7226
27/3/2014,2.681,2.6829
26/3/2014,2.6919,2.6937
25/3/2014,2.748,2.7498
24/3/2014,2.7281,2.7299
21/3/2014,2.7426,2.7444
20/3/2014,2.7716,2.7734
19/3/2014,2.7725,2.7743
18/3/2014,2.6722,2.674
17/3/2014,2.6921,2.6939
14/3/2014,2.6543,2.6561
13/3/2014,2.6446,2.6463
12/3/2014,2.73,2.7318
11/3/2014,2.768,2.7698
10/3/2014,2.777,2.7788
7/3/2014,2.7879,2.7897
6/3/2014,2.7373,2.7391
5/3/2014,2.7048,2.7066
4/3/2014,2.6977,2.6995
3/3/2014,2.6012,2.603
28/2/2014,2.6476,2.6494
27/2/2014,2.6387,2.6405
26/2/2014,2.6655,2.6673
25/2/2014,2.7023,2.7041
24/2/2014,2.7382,2.74
21/2/2014,2.731,2.7328
20/2/2014,2.7509,2.7527
19/2/2014,2.7392,2.741
18/2/2014,2.7069,2.7087
17/2/2014,2.7428,2.7446
14/2/2014,2.7428,2.7446
13/2/2014,2.732,2.7338
12/2/2014,2.7608,2.7626
11/2/2014,2.725,2.7268
10/2/2014,2.6674,2.6692
7/2/2014,2.6829,2.6847
6/2/2014,2.7003,2.7021
5/2/2014,2.6675,2.6693
4/2/2014,2.6294,2.6312
3/2/2014,2.5761,2.5779
31/1/2014,2.644,2.6458
30/1/2014,2.6949,2.6968
29/1/2014,2.6767,2.6786
28/1/2014,2.7488,2.7506
27/1/2014,2.7479,2.7497
24/1/2014,2.715,2.7169
23/1/2014,2.7772,2.779
22/1/2014,2.8656,2.8674
21/1/2014,2.8286,2.8305
20/1/2014,2.8194,2.8212
17/1/2014,2.8194,2.8212
16/1/2014,2.8414,2.8433
15/1/2014,2.8912,2.8931
14/1/2014,2.8709,2.8727
13/1/2014,2.8257,2.8276
10/1/2014,2.8579,2.8598
9/1/2014,2.9652,2.9671
8/1/2014,2.9894,2.9912
7/1/2014,2.9391,2.941
6/1/2014,2.9576,2.9595
3/1/2014,2.9948,2.9976
2/1/2014,2.989,2.9909
1/1/2014,3.0282,3.03
31/12/2013,3.0282,3.03
30/12/2013,2.9703,2.9721
27/12/2013,3,3.0019
26/12/2013,2.9905,2.9924
25/12/2013,2.9775,2.9802
24/12/2013,2.9775,2.9802
23/12/2013,2.9274,2.9292
20/12/2013,2.8886,2.8905
19/12/2013,2.9291,2.9309
18/12/2013,2.8931,2.895
17/12/2013,2.8354,2.8372
16/12/2013,2.8784,2.8802
13/12/2013,2.8646,2.8664
12/12/2013,2.8773,2.8792
11/12/2013,2.8535,2.8554
10/12/2013,2.8006,2.8025
9/12/2013,2.8389,2.8407
6/12/2013,2.8553,2.8571
5/12/2013,2.8717,2.8735
4/12/2013,2.8342,2.8361
3/12/2013,2.7825,2.7843
2/12/2013,2.7951,2.797
29/11/2013,2.7445,2.7463
28/11/2013,2.7373,2.7391
27/11/2013,2.7373,2.7391
26/11/2013,2.7077,2.7094
25/11/2013,2.7283,2.7301
22/11/2013,2.7427,2.7445
21/11/2013,2.7842,2.786
20/11/2013,2.7987,2.8005
19/11/2013,2.7069,2.7087
18/11/2013,2.6658,2.6675
15/11/2013,2.7033,2.7051
14/11/2013,2.69,2.6917
13/11/2013,2.6996,2.7014
12/11/2013,2.7728,2.7747
11/11/2013,2.7477,2.7495
8/11/2013,2.7477,2.7495
7/11/2013,2.5999,2.6018
6/11/2013,2.6421,2.6439
5/11/2013,2.6696,2.6715
4/11/2013,2.6035,2.6054
1/11/2013,2.6218,2.6236
31/10/2013,2.5542,2.556
30/10/2013,2.5378,2.5397
29/10/2013,2.5034,2.5052
28/10/2013,2.5233,2.5251
25/10/2013,2.5088,2.5106
24/10/2013,2.5197,2.5215
23/10/2013,2.5016,2.5034
22/10/2013,2.5124,2.5142
21/10/2013,2.6014,2.6032
18/10/2013,2.5777,2.5795
17/10/2013,2.5894,2.5913
16/10/2013,2.6633,2.6652
15/10/2013,2.7276,2.7295
14/10/2013,2.6871,2.6889
11/10/2013,2.6871,2.6889
10/10/2013,2.6814,2.6833
9/10/2013,2.6631,2.6649
8/10/2013,2.632,2.6338
7/10/2013,2.6265,2.6283
4/10/2013,2.6447,2.6465
3/10/2013,2.6046,2.6064
2/10/2013,2.6173,2.6191
1/10/2013,2.65,2.6518
30/9/2013,2.61,2.6118
27/9/2013,2.6245,2.6263
26/9/2013,2.6498,2.6517
25/9/2013,2.628,2.6298
24/9/2013,2.6552,2.6571
23/9/2013,2.6999,2.7017
20/9/2013,2.7337,2.7356
19/9/2013,2.7519,2.7538
18/9/2013,2.6878,2.6896
17/9/2013,2.8468,2.8486
16/9/2013,2.8643,2.8661
13/9/2013,2.8846,2.8865
12/9/2013,2.9095,2.9113
11/9/2013,2.9122,2.914
10/9/2013,2.9643,2.9662
9/9/2013,2.912,2.9138
6/9/2013,2.9342,2.9361
5/9/2013,2.9937,2.9956
4/9/2013,2.8966,2.8985
3/9/2013,2.8576,2.8595
2/9/2013,2.7839,2.7867
30/8/2013,2.7839,2.7867
29/8/2013,2.7617,2.7635
28/8/2013,2.7653,2.7671
27/8/2013,2.7087,2.7105
26/8/2013,2.7853,2.7871
23/8/2013,2.8146,2.8164
22/8/2013,2.8844,2.8862
21/8/2013,2.8935,2.8954
20/8/2013,2.8142,2.8161
19/8/2013,2.8804,2.8823
16/8/2013,2.8251,2.8269
15/8/2013,2.7664,2.7682
14/8/2013,2.7136,2.7154
13/8/2013,2.719,2.7208
12/8/2013,2.6206,2.6224
9/8/2013,2.5784,2.5802
8/8/2013,2.5892,2.591
7/8/2013,2.5986,2.6005
6/8/2013,2.6421,2.6441
5/8/2013,2.6333,2.6352
2/8/2013,2.596,2.5979
1/8/2013,2.706,2.7079
31/7/2013,2.5762,2.5781
30/7/2013,2.6101,2.612
29/7/2013,2.6023,2.6042
26/7/2013,2.5624,2.5643
25/7/2013,2.5712,2.5731
24/7/2013,2.588,2.5899
23/7/2013,2.5049,2.5068
22/7/2013,2.4804,2.4823
19/7/2013,2.4839,2.4858
18/7/2013,2.5284,2.5302
17/7/2013,2.4888,2.4907
16/7/2013,2.5317,2.5336
15/7/2013,2.5372,2.539
12/7/2013,2.5821,2.584
11/7/2013,2.5721,2.574
10/7/2013,2.6238,2.6266
9/7/2013,2.634,2.6359
8/7/2013,2.6356,2.6375
5/7/2013,2.7391,2.741
4/7/2013,2.5032,2.5051
3/7/2013,2.5032,2.5051
2/7/2013,2.4693,2.4711
1/7/2013,2.4765,2.4784
28/6/2013,2.4857,2.4875
27/6/2013,2.4721,2.474
26/6/2013,2.5353,2.5372
25/6/2013,2.6082,2.6101
24/6/2013,2.5368,2.5386
21/6/2013,2.531,2.5328
20/6/2013,2.4144,2.4163
19/6/2013,2.3527,2.3545
18/6/2013,2.1854,2.1872
17/6/2013,2.1817,2.1835
14/6/2013,2.1295,2.1313
13/6/2013,2.1489,2.1507
12/6/2013,2.228,2.2298
11/6/2013,2.1846,2.1864
10/6/2013,2.2097,2.2115
7/6/2013,2.1718,2.1736
6/6/2013,2.0769,2.0787
5/6/2013,2.0892,2.091
4/6/2013,2.1462,2.148
3/6/2013,2.1193,2.1211
31/5/2013,2.1282,2.13
30/5/2013,2.111,2.1128
29/5/2013,2.1153,2.1171
28/5/2013,2.1652,2.167
27/5/2013,2.0081,2.0098
24/5/2013,2.0081,2.0098
23/5/2013,2.0157,2.0175
22/5/2013,2.0395,2.0412
21/5/2013,1.9263,1.928
20/5/2013,1.9647,1.9664
17/5/2013,1.9506,1.9524
16/5/2013,1.8809,1.8826
15/5/2013,1.9347,1.9365
14/5/2013,1.974,1.9757
13/5/2013,1.9199,1.9216
10/5/2013,1.8973,1.899
9/5/2013,1.8109,1.8126
8/5/2013,1.7665,1.7682
7/5/2013,1.7778,1.7795
6/5/2013,1.7588,1.7606
3/5/2013,1.7382,1.7399
2/5/2013,1.6255,1.6272
1/5/2013,1.629,1.6307
30/4/2013,1.6717,1.6734
29/4/2013,1.6701,1.6718
26/4/2013,1.6633,1.6651
25/4/2013,1.708,1.7097
24/4/2013,1.7047,1.7064
23/4/2013,1.7065,1.7082
22/4/2013,1.6929,1.6946
19/4/2013,1.7049,1.7066
18/4/2013,1.6847,1.6864
17/4/2013,1.695,1.6967
16/4/2013,1.7224,1.7241
15/4/2013,1.6798,1.6815
12/4/2013,1.7208,1.7225
11/4/2013,1.7887,1.7905
10/4/2013,1.8034,1.8051
9/4/2013,1.7502,1.752
8/4/2013,1.746,1.7477
5/4/2013,1.7128,1.7145
4/4/2013,1.7625,1.7643
3/4/2013,1.8106,1.8124
2/4/2013,1.859,1.8607
1/4/2013,1.8314,1.8331
29/3/2013,1.8486,1.8504
28/3/2013,1.8487,1.8504
27/3/2013,1.8454,1.8471
26/3/2013,1.9094,1.9111
25/3/2013,1.9198,1.9215
22/3/2013,1.925,1.9267
21/3/2013,1.9112,1.9129
20/3/2013,1.9581,1.9598
19/3/2013,1.9017,1.9035
18/3/2013,1.9546,1.9564
15/3/2013,1.9895,1.9912
14/3/2013,2.0296,2.0314
13/3/2013,2.0209,2.0226
