Date,PX_BID,PX_LAST
9/6/2010,1.21,1.21
8/6/2010,1.239,1.239
7/6/2010,1.231,1.231
4/6/2010,1.275,1.275
3/6/2010,1.285,1.285
2/6/2010,1.275,1.275
1/6/2010,1.254,1.254
31/5/2010,1.265,1.265
28/5/2010,1.259,1.259
27/5/2010,1.255,1.255
26/5/2010,1.215,1.215
25/5/2010,1.221,1.221
24/5/2010,1.259,1.259
21/5/2010,1.245,1.245
20/5/2010,1.265,1.265
19/5/2010,1.295,1.295
18/5/2010,1.305,1.305
17/5/2010,1.29,1.29
14/5/2010,1.305,1.305
13/5/2010,1.316,1.316
12/5/2010,1.307,1.307
11/5/2010,1.32,1.32
10/5/2010,1.314,1.314
7/5/2010,1.284,1.284
6/5/2010,1.279,1.279
5/5/2010,1.29,1.29
4/5/2010,1.29,1.29
3/5/2010,1.289,1.289
30/4/2010,1.29,1.29
29/4/2010,1.289,1.289
28/4/2010,1.292,1.292
27/4/2010,1.315,1.315
26/4/2010,1.33,1.33
23/4/2010,1.32,1.32
22/4/2010,1.321,1.321
21/4/2010,1.34,1.34
20/4/2010,1.33,1.33
19/4/2010,1.321,1.321
16/4/2010,1.35,1.35
15/4/2010,1.37,1.37
14/4/2010,1.375,1.375
13/4/2010,1.385,1.385
12/4/2010,1.405,1.405
9/4/2010,1.39,1.39
8/4/2010,1.39,1.39
7/4/2010,1.406,1.406
6/4/2010,1.405,1.405
5/4/2010,1.39,1.39
2/4/2010,1.364,1.364
1/4/2010,1.364,1.364
31/3/2010,1.4,1.4
30/3/2010,1.4,1.4
29/3/2010,1.408,1.408
26/3/2010,1.385,1.385
25/3/2010,1.369,1.369
24/3/2010,1.346,1.346
23/3/2010,1.355,1.355
22/3/2010,1.37,1.37
19/3/2010,1.37,1.37
18/3/2010,1.374,1.374
17/3/2010,1.355,1.355
16/3/2010,1.35,1.35
15/3/2010,1.349,1.349
12/3/2010,1.349,1.349
11/3/2010,1.325,1.325
10/3/2010,1.31,1.31
9/3/2010,1.313,1.313
8/3/2010,1.325,1.325
5/3/2010,1.315,1.315
4/3/2010,1.335,1.335
3/3/2010,1.34,1.34
2/3/2010,1.304,1.304
1/3/2010,1.315,1.315
26/2/2010,1.305,1.305
25/2/2010,1.305,1.305
24/2/2010,1.329,1.329
23/2/2010,1.34,1.34
22/2/2010,1.351,1.351
19/2/2010,1.34,1.34
18/2/2010,1.325,1.325
17/2/2010,1.331,1.331
16/2/2010,1.33,1.33
15/2/2010,1.33,1.33
12/2/2010,1.335,1.335
11/2/2010,1.335,1.335
10/2/2010,1.335,1.335
9/2/2010,1.346,1.346
8/2/2010,1.365,1.365
5/2/2010,1.374,1.374
4/2/2010,1.385,1.385
3/2/2010,1.364,1.364
2/2/2010,1.355,1.355
1/2/2010,1.34,1.34
29/1/2010,1.325,1.325
28/1/2010,1.319,1.319
27/1/2010,1.315,1.315
26/1/2010,1.325,1.325
25/1/2010,1.345,1.345
22/1/2010,1.33,1.33
21/1/2010,1.349,1.349
20/1/2010,1.339,1.339
19/1/2010,1.335,1.335
18/1/2010,1.325,1.325
15/1/2010,1.33,1.33
14/1/2010,1.341,1.341
13/1/2010,1.336,1.336
12/1/2010,1.36,1.36
11/1/2010,1.365,1.365
8/1/2010,1.365,1.365
7/1/2010,1.35,1.35
6/1/2010,1.341,1.341
5/1/2010,1.335,1.335
4/1/2010,1.329,1.329
1/1/2010,1.295,1.295
31/12/2009,1.295,1.295
30/12/2009,1.295,1.295
29/12/2009,1.305,1.305
28/12/2009,1.31,1.31
25/12/2009,1.28,1.28
24/12/2009,1.27,1.27
23/12/2009,1.26,1.26
22/12/2009,1.259,1.259
21/12/2009,1.226,1.226
18/12/2009,1.236,1.236
17/12/2009,1.255,1.255
16/12/2009,1.265,1.265
15/12/2009,1.289,1.289
14/12/2009,1.308,1.308
11/12/2009,1.288,1.288
10/12/2009,1.251,1.251
9/12/2009,1.245,1.245
8/12/2009,1.275,1.275
7/12/2009,1.291,1.291
4/12/2009,1.295,1.295
3/12/2009,1.271,1.271
2/12/2009,1.255,1.255
1/12/2009,1.202,1.202
30/11/2009,1.266,1.266
27/11/2009,1.256,1.256
26/11/2009,1.29,1.29
25/11/2009,1.305,1.305
24/11/2009,1.3,1.3
23/11/2009,1.315,1.315
20/11/2009,1.313,1.313
19/11/2009,1.306,1.306
18/11/2009,1.305,1.305
17/11/2009,1.311,1.311
16/11/2009,1.34,1.34
13/11/2009,1.345,1.345
12/11/2009,1.38,1.38
11/11/2009,1.436,1.436
10/11/2009,1.475,1.475
9/11/2009,1.478,1.478
6/11/2009,1.454,1.454
5/11/2009,1.45,1.45
4/11/2009,1.41,1.41
3/11/2009,1.385,1.385
2/11/2009,1.385,1.385
30/10/2009,1.415,1.415
29/10/2009,1.414,1.414
28/10/2009,1.43,1.43
27/10/2009,1.41,1.41
26/10/2009,1.404,1.404
23/10/2009,1.369,1.369
22/10/2009,1.371,1.371
21/10/2009,1.356,1.356
20/10/2009,1.359,1.359
19/10/2009,1.345,1.345
16/10/2009,1.335,1.335
15/10/2009,1.32,1.32
14/10/2009,1.305,1.305
13/10/2009,1.305,1.305
12/10/2009,1.29,1.29
9/10/2009,1.29,1.29
8/10/2009,1.27,1.27
7/10/2009,1.27,1.27
6/10/2009,1.25,1.25
5/10/2009,1.269,1.269
2/10/2009,1.26,1.26
1/10/2009,1.3,1.3
30/9/2009,1.301,1.301
29/9/2009,1.29,1.29
28/9/2009,1.29,1.29
25/9/2009,1.318,1.318
24/9/2009,1.328,1.328
23/9/2009,1.35,1.35
22/9/2009,1.35,1.35
21/9/2009,1.35,1.35
